Line,Section,Number,Length,Grade,Speed Limit,Infrastructure,Side,Elevation,Cumulative Elevation,Polarity,Column,Row
Red,YARD,0,1,0,5,LIGHT;YARD,,0,0,1,26,8
Red,A,1,50,0.5,40,,,0.25,0.25,0,20,7
Red,A,2,50,1,40,,,0.50,0.75,1,21,6
Red,A,3,50,1.5,40,,,0.75,1.50,0,22,5
Red,B,4,50,2,40,,,1.00,2.50,1,22,4
Red,B,5,50,1.5,40,,,0.75,3.25,0,23,3
Red,B,6,50,1,40,,,0.50,3.75,1,24,2
Red,C,7,75,0.5,40,STATION SHADYSIDE,Left/Right,0.38,4.13,0,25,3
Red,C,8,75,0,40,,,0.00,4.13,1,26,4
Red,C,9,75,0,40,SWITCH TO/FROM YARD (75-yard),,0.00,4.13,0,26,5
Red,D,10,75,0,40,,,0.00,4.13,1,25,6
Red,D,11,75,-0.5,40,RAILWAY CROSSING,,-0.38,3.75,0,24,7
Red,D,12,75,-1,40,,,-0.75,3.00,1,23,8
Red,E,13,70,-2,40,,,-1.40,1.60,0,22,8
Red,E,14,60,-1.25,40,,,-0.75,0.85,1,21,8
Red,E,15,60,-1,40,SWITCH (15-16; 1-16),,-0.60,0.25,0,20,8
Red,F,16,50,-0.5,40,STATION HERRON AVE,Left/Right,-0.25,0.00,1,19,8
Red,F,17,200,-0.5,55,,,-1.00,-1.00,0,18,8
Red,F,18,400,-0.06025,70,,,-0.24,-1.24,1,17,8
Red,F,19,400,0,70,,,0.00,-1.24,0,16,8
Red,F,20,200,0,70,,,0.00,-1.24,1,15,8
Red,G,21,100,0,55,STATION SWISSVILLE,Left/Right,0.00,-1.24,0,14,9
Red,G,22,100,0,55,,,0.00,-1.24,1,13,10
Red,G,23,100,0,55,,,0.00,-1.24,0,13,11
Red,H,24,50,0,70,UNDERGROUND,,0.00,-1.24,1,13,12
Red,H,25,50,0,70,STATION PENN STATION; UNDERGROUND,Left/Right,0.00,-1.24,0,13,13
Red,H,26,50,0,70,UNDERGROUND,,0.00,-1.24,1,13,14
Red,H,27,50,0,70,SWITCH (27-28; 27-76); UNDERGROUND,,0.00,-1.24,0,13,15
Red,H,28,50,0,70,UNDERGROUND,,0.00,-1.24,1,13,16
Red,H,29,60,0,70,UNDERGROUND,,0.00,-1.24,0,13,17
Red,H,30,60,0,70,UNDERGROUND,,0.00,-1.24,1,13,18
Red,H,31,50,0,70,UNDERGROUND,,0.00,-1.24,0,13,19
Red,H,32,50,0,70,UNDERGROUND,,0.00,-1.24,1,13,20
Red,H,33,50,0,70,SWITCH (32-33; 33-72);UNDERGROUND,,0.00,-1.24,0,13,21
Red,H,34,50,0,70,UNDERGROUND,,0.00,-1.24,1,13,22
Red,H,35,50,0,70,STATION; STEEL PLAZA; UNDERGROUND,Left/Right,0.00,-1.24,0,13,23
Red,H,36,50,0,70,UNDERGROUND,,0.00,-1.24,1,13,24
Red,H,37,50,0,70,UNDERGROUND,,0.00,-1.24,0,13,25
Red,H,38,50,0,70,SWITCH (38-39; 38-71); UNDERGROUND,,0.00,-1.24,1,13,26
Red,H,39,50,0,70,UNDERGROUND,,0.00,-1.24,0,13,27
Red,H,40,60,0,70,UNDERGROUND,,0.00,-1.24,1,13,28
Red,H,41,60,0,70,UNDERGROUND,,0.00,-1.24,0,13,29
Red,H,42,50,0,70,UNDERGROUND,,0.00,-1.24,1,13,30
Red,H,43,50,0,70,UNDERGROUND,,0.00,-1.24,0,13,31
Red,H,44,50,0,70,SWITCH (43-44; 44-67);UNDERGROUND,,0.00,-1.24,1,13,32
Red,H,45,50,0,70,STATION; FIRST AVE; UNDERGROUND,Left/Right,0.00,-1.24,0,13,33
